filename,lines_of_code,number_of_commits,number_of_authors,filetype,date_of_first_commit,date_of_last_commit
./packages/ember-runtime/tests/system/lazy_load_test.js,69,7,5,js,2012-05-17,2015-02-02
./packages/ember-runtime/tests/system/application/base_test.js,9,6,4,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object_proxy_test.js,194,11,7,js,2012-05-21,2015-02-02
./packages/ember-runtime/tests/system/string/dasherize_test.js,45,2,1,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/system/string/classify_test.js,38,2,1,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/system/string/underscore_test.js,38,2,1,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/system/string/fmt_string_test.js,44,3,2,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/system/string/camelize_test.js,52,2,1,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/system/string/capitalize_test.js,45,2,1,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/system/string/w_test.js,33,7,4,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/string/loc_test.js,59,8,4,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/string/decamelize_test.js,45,2,1,js,2014-05-20,2015-02-02
./packages/ember-runtime/tests/ext/function_test.js,106,13,8,js,2011-12-12,2015-01-01
./packages/ember-runtime/tests/ext/rsvp_test.js,170,13,8,js,2013-11-15,2015-02-02
./packages/ember-runtime/tests/ext/mixin_test.js,52,12,7,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/suites/array.js,45,9,6,js,2011-12-12,2015-01-15
./packages/ember-runtime/tests/suites/mutable_array.js,24,8,7,js,2011-12-12,2014-08-23
./packages/ember-runtime/tests/suites/array/objectAt.js,30,8,5,js,2011-12-12,2014-12-29
./packages/ember-runtime/tests/suites/array/indexOf.js,27,8,5,js,2011-12-12,2014-12-29
./packages/ember-runtime/tests/suites/array/lastIndexOf.js,68,9,6,js,2012-01-06,2014-12-29
./packages/ember-runtime/tests/suites/mutable_enumerable.js,12,6,5,js,2011-12-12,2014-08-23
./packages/ember-runtime/tests/suites/copyable.js,45,7,6,js,2011-12-12,2014-08-23
./packages/ember-runtime/tests/suites/mutable_array/removeAt.js,124,13,6,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/suites/mutable_array/clear.js,49,7,4,js,2012-03-20,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/pushObjects.js,15,5,4,js,2013-07-03,2015-02-02
./packages/ember-runtime/tests/suites/mutable_array/replace.js,143,13,6,js,2011-12-12,2014-12-30
./packages/ember-runtime/tests/suites/mutable_array/unshiftObject.js,83,11,5,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/reverseObjects.js,29,4,4,js,2012-07-12,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/popObject.js,71,9,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/setObjects.js,49,4,4,js,2012-08-16,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/addObject.js,63,6,3,js,2012-05-02,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/unshiftObjects.js,80,7,3,js,2012-05-03,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/pushObject.js,58,10,5,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/shiftObject.js,73,10,5,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/removeObject.js,63,6,3,js,2012-05-02,2014-05-20
./packages/ember-runtime/tests/suites/mutable_array/insertAt.js,204,12,5,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/suites/enumerable.js,321,26,18,js,2011-12-12,2015-01-26
./packages/ember-runtime/tests/suites/suite.js,147,20,11,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/suites/enumerable/toArray.js,12,5,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/compact.js,13,7,6,js,2011-12-25,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/is_any.js,74,1,1,js,2014-05-20,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/contains.js,19,6,5,js,2011-12-12,2014-05-20
